model,validation_season,dimension,segment,rows,weight,actual_rate,predicted_rate,mean_bias,brier,weighted_excess_vs_fold_reference
constant,2022,batter_hand,2,122638,0.49556313441520655,0.5323961577977462,0.5431423520563062,0.010746194258560049,0.2490659696509863,-4.838593967535769e-05
constant,2022,pitcher_team_id,12,25163,0.1016801900821103,0.5205261693756706,0.5431423520563062,0.022616182680635588,0.2500901680898052,9.421281151191489e-05
constant,2022,pitcher_team_id,13,35983,0.14540230813991079,0.5759108467887614,0.5431423520563062,-0.03276849473245513,0.24531131758684419,-0.0005601319098931527
constant,2022,pitcher_team_id,14,24085,0.0973241417210836,0.5374714552626115,0.5431423520563062,0.005670896793694702,0.24862804911094688,-5.2122803993994414e-05
constant,2022,pitcher_team_id,15,22765,0.09199020495247948,0.5184713375796178,0.5431423520563062,0.024671014476688402,0.2502674686433288,0.00010154437175667536
constant,2022,pitcher_team_id,16,22697,0.0917154263916726,0.5147816892100278,0.5431423520563062,0.028360662846278473,0.2505858288611785,0.0001304395976292464
constant,2022,pitcher_team_id,17,25005,0.10104173401435314,0.5212157568486303,0.5431423520563062,0.021926595207675925,0.2500306672387411,8.760917439931962e-05
constant,2022,pitcher_team_id,18,23092,0.0933115665610655,0.5318725099601593,0.5431423520563062,0.011269842096146898,0.2491111524497117,-4.894704563416096e-06
constant,2022,pitcher_team_id,19,22838,0.09228518781922804,0.5006130133987214,0.5431423520563062,0.04252933865758479,0.25180836886122454,0.0002440722577687649
constant,2022,pitcher_team_id,20,21199,0.08566221633154458,0.5157318741450069,0.5431423520563062,0.027410477911299358,0.25050384243521157,0.00011480745672228339
constant,2022,pitcher_team_id,21,23979,0.09689581043511994,0.521247758455315,0.5431423520563062,0.02189459360099122,0.2500279059895772,8.374685935873231e-05
constant,2022,pitcher_team_id,23,666,0.002691213551432081,0.6906906906906907,0.5431423520563061,-0.14754833863438455,0.23540757271767435,-3.7020428421312784e-05
constant,2022,batter_team_id,12,23500,0.09496023792590677,0.5279148936170213,0.5431423520563062,0.015227458439284969,0.2494526342048706,2.7446002278641042e-05
constant,2022,batter_team_id,13,37271,0.15060693735048813,0.5639773550481608,0.5431423520563062,-0.02083500299185459,0.24634099539071225,-0.00042510503232736935
constant,2022,batter_team_id,14,24752,0.10001939613370402,0.5248868778280543,0.5431423520563061,0.0182554742282518,0.24971390565126994,5.504044414268935e-05
constant,2022,batter_team_id,15,21626,0.08738766405896424,0.524738740405068,0.5431423520563062,0.018403611651238272,0.2497266876449803,4.9206219544802744e-05
constant,2022,batter_team_id,16,23154,0.09356209995474235,0.5181826034378509,0.5431423520563062,0.02495974861845529,0.25029238198331843,0.00010561046927580944
constant,2022,batter_team_id,17,24518,0.09907383461563328,0.529039889061098,0.5431423520563062,0.014102462995208231,0.2493555643058504,1.9017852617368758e-05
constant,2022,batter_team_id,18,22393,0.09048700459041831,0.521502255169026,0.5431423520563062,0.02164009688728019,0.250005946815937,7.622072116157195e-05
constant,2022,batter_team_id,19,22302,0.09011928622227969,0.5062774639045825,0.5431423520563062,0.03686488815172373,0.2513196134253658,0.00019429767486278085
constant,2022,batter_team_id,20,23128,0.0934570375638456,0.5169923901764095,0.5431423520563062,0.02614996187989671,0.2503950791824127,0.00011508965357015639
constant,2022,batter_team_id,21,24017,0.09704936316027672,0.5275013532081443,0.5431423520563062,0.015640998848161947,0.24948831641668914,3.151275026191095e-05
constant,2022,batter_team_id,23,811,0.0032771384237408677,0.6942046855733662,0.5431423520563062,-0.15106233351706,0.2351043687089695,-4.607407311329204e-05
constant,2023,game_month,4,41288,0.16816210161897974,0.4866547180778919,0.5395365039034486,0.05288178582555675,0.2526183867225196,0.00044031372165981286
constant,2023,game_month,5,39576,0.16118928825985135,0.49676571659591673,0.5395365039034486,0.04277078730753192,0.2518188796577682,0.000293184212263175
constant,2023,game_month,6,42446,0.17287852560839018,0.5028271215191066,0.5395365039034486,0.03670938238434207,0.25133958613895613,0.00023158599280367315
constant,2023,game_month,7,28611,0.11652988494043376,0.5042116668414246,0.5395365039034485,0.03532483706202394,0.2512301059758755,0.00014334432095344446
constant,2023,game_month,8,38825,0.15813053660523368,0.5046490663232454,0.5395365039034486,0.034887437580203295,0.2511955194832347,0.00018904842660899413
constant,2023,game_month,9,37141,0.15127176458609104,0.5019250962548127,0.5395365039034486,0.03761140764863591,0.25141091198972165,0.00021343142302001773
constant,2023,game_month,10,17638,0.07183789838102027,0.5099784556072117,0.5395365039034486,0.029558048296236983,0.25077410864277766,5.561046939921826e-05
constant,2023,count_state,0-0,63138,0.25715507585785563,0.5028508980328804,0.5395365039034486,0.03668560587056824,0.2513377060584968,0.0003439983732561538
constant,2023,count_state,0-1,30327,0.12351898991956013,0.5120519668941867,0.5395365039034486,0.0274845370092619,0.250610149868595,7.536532137083152e-05
constant,2023,count_state,0-2,14526,0.059163018022604624,0.5017898939832025,0.5395365039034486,0.037746609920246144,0.25142160284000015,8.410642264646223e-05
constant,2023,count_state,1-0,25591,0.10422971184197129,0.49658082919776486,0.5395365039034485,0.04295567470568368,0.2518334992604457,0.00019110529020321458
constant,2023,count_state,1-1,25293,0.103015986152123,0.5050804570434507,0.5395365039034486,0.034456046859997924,0.25116140812144805,0.0001196437913607805
constant,2023,count_state,1-2,23456,0.09553405966805824,0.504305934515689,0.5395365039034486,0.0352305693877597,0.25122265194733234,0.00011680507881083342
constant,2023,count_state,2-0,8774,0.03573566846553304,0.49213585593799863,0.5395365039034486,0.047400647965450016,0.25218497666571665,7.808166708751979e-05
constant,2023,count_state,2-1,13479,0.054898686488137664,0.49692113658283255,0.5395365039034486,0.042615367320616104,0.25180659013192946,9.917952566892077e-05
constant,2023,count_state,2-2,20380,0.08300580388962428,0.49730127576054955,0.5395365039034486,0.042235228142899095,0.2517765313837622,0.0001474625674526674
constant,2023,count_state,3-0,2858,0.011640362488544954,0.48775367389783064,0.5395365039034488,0.05178283000561812,0.2525314889803901,2.946747065641953e-05
constant,2023,count_state,3-1,5807,0.02365135933204358,0.4802824177716549,0.5395365039034488,0.05925408613179384,0.2531222636743825,7.384582334790024e-05
constant,2023,count_state,3-2,11896,0.04845127787394359,0.4656186953597848,0.5395365039034486,0.07391780854366387,0.2542817683111345,0.00020745723484659717
constant,2023,pitcher_n_bucket,0,63,0.0002565930149679259,0.42857142857142855,0.5395365039034486,0.1109650753320201,0.25721120712711426,1.8503458475843897e-06
constant,2023,pitcher_n_bucket,1-10,624,0.0025414927196823135,0.4951923076923077,0.5395365039034486,0.04434419621114094,0.25194329383228675,4.938871775066458e-06
constant,2023,pitcher_n_bucket,1001+,200385,0.8161490683229814,0.5045587244554233,0.5395365039034486,0.03497777944802538,0.2512026630864543,0.000981553850161532
constant,2023,pitcher_n_bucket,11-50,2504,0.010198554118725181,0.46565495207667734,0.5395365039034488,0.07388155182677142,0.2542789013834766,4.363862598008965e-05
constant,2023,pitcher_n_bucket,201-1000,33667,0.1371224926178597,0.4840051088603083,0.5395365039034486,0.055531395043140364,0.25282789929286675,0.00038776885069188556
constant,2023,pitcher_n_bucket,51-200,8282,0.03373179920578352,0.46474281574498916,0.5395365039034486,0.07479368815845949,0.25435102674675314,0.00014676802225216113
constant,2023,batter_n_bucket,0,71,0.00028917625496385297,0.5070422535211268,0.5395365039034486,0.0324942503823219,0.25100628297325317,2.9099367051029326e-07
constant,2023,batter_n_bucket,1-10,662,0.002696263109662967,0.4697885196374622,0.5395365039034486,0.06974798426598644,0.2539520477634723,1.0655765523440276e-05
constant,2023,batter_n_bucket,1001+,204856,0.8343590265757052,0.5017768578904206,0.5395365039034486,0.03775964601302806,0.25142263364306644,0.0011869887475521718
constant,2023,batter_n_bucket,11-50,2427,0.009884940433764382,0.4672435105067985,0.5395365039034486,0.07229299339665013,0.25415328929032993,4.105503531755418e-05
constant,2023,batter_n_bucket,201-1000,29727,0.1210752469198656,0.49550913311131295,0.5395365039034486,0.0440273707921357,0.2519182414934563,0.0002322517839052502
constant,2023,batter_n_bucket,51-200,7782,0.03169534670603808,0.4817527627859162,0.5395365039034486,0.05778374111753243,0.253005999071591,9.52762407393518e-05
constant,2023,li_bucket,0.5-1,74489,0.30338662050707665,0.5018593349353596,0.5395365039034486,0.037677168968089036,0.2514161119350481,0.0004296299690941985
constant,2023,li_bucket,1-2,67102,0.2733000712758375,0.5049476915740216,0.5395365039034486,0.03458881232942701,0.25117190628644875,0.0003202825714503316
constant,2023,li_bucket,2+,26675,0.10864474086141941,0.498369259606373,0.5395365039034486,0.041167244297075634,0.25169208268878374,0.00018383608393809117
constant,2023,li_bucket,<=0.5,77259,0.31466856735566645,0.4943372293195615,0.5395365039034486,0.04519927458388717,0.25201090745113036,0.0006327699422256666
constant,2023,score_bucket,four_plus,56057,0.22831483555646065,0.4893055283015502,0.5395365039034486,0.05023097560189843,0.2524087791850096,0.0005499604410796067
constant,2023,score_bucket,one_run,54981,0.22393238977700844,0.5007548062057802,0.5395365039034486,0.03878169769766848,0.25150345034390514,0.0003366716379690572
constant,2023,score_bucket,tie,66328,0.27014764280623155,0.5074176818236642,0.5395365039034486,0.03211882207978445,0.2509765967281557,0.0002638257981533858
constant,2023,score_bucket,two_three,68159,0.27760513186029934,0.5008142725098667,0.5395365039034486,0.038722231393581996,0.25149874816437784,0.00041606068950625125
constant,2023,pitcher_history_missing,available,242803,0.9889135525913858,0.5000720748919907,0.5395365039034488,0.03946442901145808,0.25155743596241037,0.0015401713391331845
constant,2023,pitcher_history_missing,missing,2722,0.011086447408614194,0.48971344599559147,0.5395365039034486,0.04982305790785718,0.25237652390600407,2.634722757510173e-05
constant,2023,pitcher_seen_before,new,33878,0.13798187557275227,0.49864218666981525,0.5395365039034486,0.040894317233633404,0.25167050152496545,0.00023049918591530467
constant,2023,pitcher_seen_before,seen,211647,0.8620181244272478,0.5001677321199922,0.5395365039034488,0.039368771783456546,0.2515498720576739,0.0013360193807930379
constant,2023,batter_seen_before,new,23091,0.09404744934324406,0.4936122298731107,0.5395365039034486,0.04592427403033794,0.25206823533801964,0.00019451243018458317
constant,2023,batter_seen_before,seen,222434,0.905952550656756,0.5006159130348777,0.5395365039034488,0.038920590868571026,0.2515144330446922,0.0013720061365237156
constant,2023,pitcher_hand,1,69113,0.2814906832298137,0.4878532258764632,0.5395365039034486,0.05168327802698547,0.25252361710600657,0.0007103752181952335
constant,2023,pitcher_hand,2,176412,0.7185093167701864,0.5046992268099676,0.5395365039034486,0.034837277093481056,0.25119155314267655,0.0008561433485131321
constant,2023,batter_hand,1,118462,0.4824844720496894,0.501798044942682,0.5395365039034486,0.03773845896076666,0.2514209583191176,0.0006855912068142408
constant,2023,batter_hand,2,127063,0.5175155279503105,0.49824103004021625,0.5395365039034486,0.0412954738632324,0.25170222218626953,0.0008809273598940687
constant,2023,pitcher_team_id,12,24435,0.09952143366255982,0.5185185185185185,0.5395365039034486,0.02101798538493016,0.25009882018152046,9.834908153290242e-06
constant,2023,pitcher_team_id,13,34583,0.14085327359739333,0.5214990024000231,0.5395365039034486,0.018037501503425535,0.24986314435628995,-1.9276307821943895e-05
constant,2023,pitcher_team_id,14,23769,0.09680887893289888,0.480163237830788,0.5395365039034486,0.059373266072660635,0.2531316875907771,0.00030317534188382066
constant,2023,pitcher_team_id,15,23112,0.09413298034823338,0.5146244375216338,0.5395365039034486,0.024912066381814868,0.25040673687858783,3.828752675771051e-05
constant,2023,pitcher_team_id,16,22547,0.09183178902352103,0.4845877500332639,0.5395365039034486,0.054948753870184774,0.25278182810284905,0.0002554604193906142
constant,2023,pitcher_team_id,17,24198,0.09855615517768047,0.4805355814530127,0.5395365039034486,0.05900092245043598,0.2531022452606301,0.00030574554555407436
constant,2023,pitcher_team_id,18,22842,0.09303329599837083,0.5292443743980387,0.5395365039034486,0.01029212950540992,0.24925069449582352,-6.971019061575878e-05
constant,2023,pitcher_team_id,19,22705,0.09247530801344059,0.48161197974014536,0.5395365039034486,0.05792452416330329,0.2530171312104683,0.0002790103071320252
constant,2023,pitcher_team_id,20,21239,0.08650442928418695,0.49672771787748954,0.5395365039034486,0.04280878602595911,0.2518218843307271,0.0001576012224582844
constant,2023,pitcher_team_id,21,24914,0.10147235515731595,0.4816970378100666,0.5395365039034486,0.05783946609338203,0.2530104054130414,0.00030547311282123717
constant,2023,pitcher_team_id,23,1181,0.004810100804398737,0.5173581710414903,0.5395365039034486,0.02217833286195836,0.25019057234663017,9.166809949587025e-07
constant,2023,batter_team_id,12,24163,0.0984136035026983,0.4996068368993916,0.5395365039034486,0.039929667004057035,0.25159422372983126,0.00015689348202968775
