number,value,params_iterations,params_official_weight,user_attrs_all_development_folds_non_degraded,user_attrs_maximum_development_fold_brier_delta,state
265,1.0032842502139654,130,0.5285399621691321,True,-4.834329782421598e-05,COMPLETE
266,1.0028891842611887,80,0.5086206885078455,True,-3.0466763084990856e-05,COMPLETE
267,1.003559927302078,330,0.5120542656800002,True,-1.1806411100712122e-05,COMPLETE
268,1.0030980648686698,80,0.5846905575230517,True,-4.116877803311825e-05,COMPLETE
269,1.0044271779086429,160,0.9582809987095511,True,-1.131795215530973e-05,COMPLETE
270,1.004191454851942,140,0.884659260468021,True,-2.996139945102283e-05,COMPLETE
271,2.004722542777799,30,0.5209304527347874,False,0.00015935860664856305,COMPLETE
272,1.0028757151014362,80,0.503473407683946,True,-2.9538706802584302e-05,COMPLETE
273,1.0028695811931156,80,0.5011185810718517,True,-2.9105515056165876e-05,COMPLETE
274,1.0038926915486868,400,0.5855666963596408,True,-1.8047271354293404e-06,COMPLETE
275,1.0038168432491048,390,0.593995903463125,True,-1.6059323708156326e-05,COMPLETE
276,1.0032783860882766,190,0.5190237314045818,True,-5.473963755750488e-05,COMPLETE
277,1.0028753595169395,80,0.5033370822963232,True,-2.9513776007461523e-05,COMPLETE
278,1.0044998954305722,330,0.977469013149587,True,-5.152819673920339e-06,COMPLETE
279,1.0028719175924536,80,0.5020163305765665,True,-2.9271302183969672e-05,COMPLETE
280,1.003080020712707,80,0.5783744286012523,True,-4.049509216894065e-05,COMPLETE
281,1.0030398783361636,80,0.5641606409663059,True,-3.883668091192449e-05,COMPLETE
282,1.0041256525765925,280,0.8422718083948839,True,-3.254296773477772e-05,COMPLETE
283,1.0033285638426903,170,0.5434620848338187,True,-5.1864768615433876e-05,COMPLETE
284,1.003677236855413,360,0.5770377421736781,True,-1.6281330959128093e-05,COMPLETE
285,1.0028685843114395,80,0.5007352343376824,True,-2.903448302224443e-05,COMPLETE
286,1.0028787924418783,80,0.5046522654801631,True,-2.9753536792409552e-05,COMPLETE
287,1.0034622349467928,250,0.534841870536365,True,-3.891389198995565e-05,COMPLETE
288,1.0038770844500395,310,0.7148611058824532,True,-3.103514423960507e-05,COMPLETE
289,2.0046536279944074,40,0.5142735837591923,False,9.044382325704148e-05,COMPLETE
290,1.003735242387083,270,0.6667557989773338,True,-4.555799681596473e-05,COMPLETE
291,1.003612498966507,300,0.5554391185057712,True,-2.0065702402982666e-05,COMPLETE
292,1.003280446242888,140,0.5202602375489161,True,-4.981693007866106e-05,COMPLETE
293,1.0028680979579012,80,0.500548143837219,True,-2.8999764136838913e-05,COMPLETE
294,1.0045545125403879,320,0.996975543537798,True,-7.41091242512093e-07,COMPLETE
295,1.0035355200386462,340,0.5009644151213368,True,-1.0196391164785101e-05,COMPLETE
296,1.00364973804514,370,0.5541365158064249,True,-1.1925702176507347e-05,COMPLETE
297,1.0038851093076908,340,0.7190826335737254,True,-3.2982082109278554e-05,COMPLETE
298,1.0030390552712762,80,0.5638668059690568,True,-3.880031787178995e-05,COMPLETE
299,1.0030261535883573,80,0.5592480091862395,True,-3.821765822012435e-05,COMPLETE
300,1.0035312554092852,310,0.5036102123174868,True,-1.2173856794472915e-05,COMPLETE
301,1.0028806351273571,80,0.505357346478374,True,-2.98813799026465e-05,COMPLETE
302,1.0033015411754718,110,0.5744673356734356,True,-4.923167363099501e-05,COMPLETE
303,1.0035005650557962,230,0.5592045767371003,True,-5.1497043012299626e-05,COMPLETE
304,1.002888172144286,80,0.5082350208025511,True,-3.0398122703001462e-05,COMPLETE
305,1.003295619882541,180,0.5339306718291739,True,-5.129073079881974e-05,COMPLETE
306,2.0046051585295577,50,0.5062595607937767,False,4.1974358407165235e-05,COMPLETE
307,1.0042767565241202,170,0.91189766875264,True,-2.3680536450437772e-05,COMPLETE
308,1.002872792512865,80,0.5023522610721411,True,-2.9333136250198066e-05,COMPLETE
309,1.0034106026794136,240,0.5098250818824731,True,-3.90161596188765e-05,COMPLETE
310,2.0045646703259923,390,0.5043739905441507,False,1.4861548418843018e-06,COMPLETE
311,1.0038710219301434,210,0.7750033367960094,True,-5.0816289792476876e-05,COMPLETE
312,1.0031250782692278,90,0.533745064373064,True,-4.138981941187447e-05,COMPLETE
313,1.0037366676702861,50,0.8112360096508113,True,-1.974957161651747e-05,COMPLETE
314,1.0033815796639867,200,0.5589085673941331,True,-5.827782563391781e-05,COMPLETE
315,1.0030701020363486,80,0.5748834608954696,True,-4.01060398017572e-05,COMPLETE
316,1.0028732483300968,80,0.5025272200312035,True,-2.9365297009309455e-05,COMPLETE
317,1.0028769864690514,80,0.5039606444089104,True,-2.9627663080705746e-05,COMPLETE
318,1.0034109348232263,230,0.5062842678358975,True,-4.730770789693195e-05,COMPLETE
319,1.0035979456337845,360,0.5152023956556449,True,-4.98126833065049e-06,COMPLETE
320,1.0028687653688448,80,0.5008048725731553,True,-2.90473972570926e-05,COMPLETE
