config_id,season,game_month,time_series_probability,time_series_logit_offset,training_global_rate
13,2022,8,0.5154455690525008,-0.11119765451601302,0.5431423520563061
13,2022,9,0.5104239435091749,-0.1312977777353595,0.5431423520563061
13,2022,10,0.49394164562091014,-0.19723419771461087,0.5431423520563061
13,2023,4,0.5291635009503741,-0.04169030082639731,0.5395365039034485
13,2023,5,0.525519572176909,-0.05630979718439,0.5395365039034485
13,2023,6,0.5164681062017227,-0.09258060281480117,0.5395365039034485
13,2023,7,0.511523579274443,-0.1123743814468999,0.5395365039034485
13,2023,8,0.5107103643067367,-0.11562885087781762,0.5395365039034485
13,2023,9,0.5056088952142616,-0.13604034045901697,0.5395365039034485
13,2023,10,0.49002457974362706,-0.19838383886867572,0.5395365039034485
13,2024,3,0.4908356738007341,-0.16315585283275066,0.5315815109059132
13,2024,4,0.5013895953625346,-0.12093604656822747,0.5315815109059132
13,2024,5,0.5009929094282435,-0.1225227993955551,0.5315815109059132
13,2024,6,0.4952503070506878,-0.14549378562991522,0.5315815109059132
13,2024,7,0.4914337122288797,-0.1607629465654132,0.5315815109059132
13,2024,8,0.49050698428970485,-0.16447106874623202,0.5315815109059132
13,2024,9,0.486638367095451,-0.17995370204444056,0.5315815109059132
13,2024,10,0.47456426883907815,-0.22832527053583523,0.5315815109059132
14,2022,4,0.5346604343288228,-0.03413513879618957,0.5431423520563061
14,2022,5,0.5278292138971188,-0.06156757640240659,0.5431423520563061
14,2022,6,0.519061261317125,-0.09671758032256583,0.5431423520563061
14,2022,7,0.5169119839065884,-0.1053258430205577,0.5431423520563061
14,2022,8,0.5181448934321683,-0.10038813403549939,0.5431423520563061
14,2022,9,0.5121252201588673,-0.12448920263377956,0.5431423520563061
14,2022,10,0.493687986456343,-0.1982489896842164,0.5431423520563061
14,2023,4,0.5299002307739354,-0.0387330645988746,0.5395365039034485
14,2023,5,0.5280232202540661,-0.04626639090485571,0.5395365039034485
14,2023,6,0.5190334556559673,-0.08230623293139289,0.5395365039034485
14,2023,7,0.5133920797685457,-0.10489572807174394,0.5395365039034485
14,2023,8,0.5121553573166122,-0.10984585121428363,0.5395365039034485
14,2023,9,0.5069064886382251,-0.13084915072664643,0.5395365039034485
14,2023,10,0.4905483343119217,-0.19628802942062734,0.5395365039034485
14,2024,3,0.48491623557531754,-0.1868478132679226,0.5315815109059132
14,2024,4,0.4976449945089508,-0.13591453395291347,0.5315815109059132
14,2024,5,0.49993229339850725,-0.12676526873685415,0.5315815109059132
14,2024,6,0.4956967405771674,-0.14370790504178002,0.5315815109059132
14,2024,7,0.4919369352390981,-0.15874949756453832,0.5315815109059132
14,2024,8,0.49069271981743234,-0.1637278639401885,0.5315815109059132
14,2024,9,0.4871743837928078,-0.1778081636988114,0.5315815109059132
14,2024,10,0.47588577578174474,-0.2230262294546061,0.5315815109059132
15,2022,4,0.5319027859368763,-0.0452148514145963,0.5431423520563061
15,2022,5,0.5253820113831501,-0.0713842014081661,0.5431423520563061
15,2022,6,0.519308638917088,-0.09572661094846846,0.5431423520563061
15,2022,7,0.5167323967124905,-0.10604500585702338,0.5431423520563061
15,2022,8,0.5150076546161344,-0.11295093836736578,0.5431423520563061
15,2022,9,0.5095479130335072,-0.13480329880111167,0.5431423520563061
15,2022,10,0.4998153578679268,-0.17373816271555356,0.5431423520563061
15,2023,4,0.5287416267267386,-0.04338347504233975,0.5395365039034485
15,2023,5,0.5243663458964596,-0.06093421271949742,0.5395365039034485
15,2023,6,0.5181296837622608,-0.08592632119734102,0.5395365039034485
15,2023,7,0.5136902656495029,-0.10370210904846397,0.5395365039034485
15,2023,8,0.5103018789690508,-0.11726351404691729,0.5395365039034485
15,2023,9,0.504720625069179,-0.1395938011249962,0.5395365039034485
15,2023,10,0.49600612928837134,-0.17445268510230863,0.5395365039034485
15,2024,3,0.49906160148811185,-0.1302480407839684,0.5315815109059132
15,2024,4,0.5018844212168884,-0.11895672177250981,0.5315815109059132
15,2024,5,0.5001288349400452,-0.12597910255764197,0.5315815109059132
15,2024,6,0.49646887717252325,-0.1406191684673072,0.5315815109059132
15,2024,7,0.49332134007932515,-0.15321067097283197,0.5315815109059132
15,2024,8,0.49047578036521844,-0.16459592960080086,0.5315815109059132
